,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
225,R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Onset of Major Separation,,F-210423-00035,200000252312/001/000
226,R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation Location,,F-210423-00035,200000252312/001/000
227,R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation Severity,,F-210423-00035,200000252312/001/000
228,R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separation,N,F-210423-00035,200000252312/001/000
229,R-20210507-00042,S-210507-00878,,Lumisizer - VM,Lumisizer Separated Layers,,F-210423-00035,200000252312/001/000
230,R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-137,
231,R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-137,
232,R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-137,
233,R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-137,
234,R-20210510-00040,S-210510-00692,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-137,
235,R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-138,
236,R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-138,
237,R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-138,
238,R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-138,
239,R-20210510-00041,S-210510-00716,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-138,
240,R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1844,TBD
241,R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1844,TBD
242,R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Onset of Major Separation,55,EXP-21-AX1844,TBD
243,R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation Severity,1.58,EXP-21-AX1844,TBD
