,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
750,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Bottom Separation,N,F-220921-00115,
751,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Top Onset (min),0,F-220921-00115,
752,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Top Separation,N,F-220921-00115,
753,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Bottom Severity (%),0,F-220921-00115,
754,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Top Severity (%),0,F-220921-00115,
755,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Structure Type,Other,F-220921-00115,
756,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Bottom Onset (min),0,F-220921-00130,
757,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Top Separation,N,F-220921-00130,
758,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Bottom Severity (%),0,F-220921-00130,
759,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Structure Type,Other,F-220921-00130,
760,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Bottom Separation,N,F-220921-00130,
761,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Top Onset (min),0,F-220921-00130,
762,R-20220921-00059,S-220921-01304,,Lumisizer - VM,Top Severity (%),0,F-220921-00130,
763,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Top Onset (min),0,F-220922-00108,
764,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Bottom Onset (min),0,F-220922-00108,
765,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Structure Type,Other,F-220922-00108,
766,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Bottom Severity (%),0,F-220922-00108,
767,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Top Separation,N,F-220922-00108,
768,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Bottom Separation,N,F-220922-00108,
769,R-20220926-00046,S-220926-00870,,Lumisizer - VM,Top Severity (%),0,F-220922-00108,
770,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00100,200000249266/004/001
771,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00100,200000249266/004/001
772,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Top Separation,N,F-220928-00100,200000249266/004/001
773,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Top Onset (min),0,F-220928-00100,200000249266/004/001
774,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Bottom Separation,N,F-220928-00100,200000249266/004/001
775,R-20220930-00057,S-220930-00812,,Lumisizer - VM,Top Severity (%),0,F-220928-00100,200000249266/004/001
776,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00144,2E+11
777,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00144,2E+11
778,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Top Separation,N,F-220928-00144,2E+11
779,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Bottom Separation,N,F-220928-00144,2E+11
780,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Top Severity (%),0,F-220928-00144,2E+11
781,R-20221004-00024,S-221004-00381,,Lumisizer - VM,Top Onset (min),0,F-220928-00144,2E+11
782,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Bottom Separation,N,F-220928-00145,2E+11
783,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00145,2E+11
784,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Top Onset (min),0,F-220928-00145,2E+11
785,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Top Separation,N,F-220928-00145,2E+11
786,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00145,2E+11
787,R-20221004-00025,S-221004-00427,,Lumisizer - VM,Top Severity (%),0,F-220928-00145,2E+11
788,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00146,2E+11
789,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Top Separation,N,F-220928-00146,2E+11
790,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00146,2E+11
791,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Bottom Separation,N,F-220928-00146,2E+11
792,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Top Onset (min),0,F-220928-00146,2E+11
793,R-20221004-00026,S-221004-00479,,Lumisizer - VM,Top Severity (%),0,F-220928-00146,2E+11
794,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Bottom Severity (%),0,F-220929-00133,
795,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Top Separation,N,F-220929-00133,
796,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Bottom Separation,N,F-220929-00133,
797,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Top Severity (%),0,F-220929-00133,
798,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Bottom Onset (min),0,F-220929-00133,
799,R-20221004-00028,S-221004-00525,,Lumisizer - VM,Top Onset (min),0,F-220929-00133,
800,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Bottom Separation,N,F-220928-00148,2E+11
801,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00148,2E+11
802,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Top Onset (min),0,F-220928-00148,2E+11
803,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00148,2E+11
804,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Top Separation,N,F-220928-00148,2E+11
805,R-20221004-00029,S-221004-00617,,Lumisizer - VM,Top Severity (%),0,F-220928-00148,2E+11
806,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Bottom Separation,N,F-221003-00090,
807,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Bottom Onset (min),0,F-221003-00090,
808,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Top Severity (%),0,F-221003-00090,
809,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Top Separation,N,F-221003-00090,
810,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Top Onset (min),0,F-221003-00090,
811,R-20221004-00031,S-221004-00597,,Lumisizer - VM,Bottom Severity (%),0,F-221003-00090,
812,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Bottom Severity (%),0,F-221003-00132,
813,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Bottom Separation,N,F-221003-00132,
814,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Bottom Onset (min),0,F-221003-00132,
815,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Top Separation,N,F-221003-00132,
816,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Top Onset (min),0,F-221003-00132,
817,R-20221004-00032,S-221004-00663,,Lumisizer - VM,Top Severity (%),0,F-221003-00132,
818,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Bottom Onset (min),0,F-220912-00063,
819,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Bottom Separation,N,F-220912-00063,
820,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Bottom Severity (%),0,F-220912-00063,
821,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Top Separation,N,F-220912-00063,
822,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Top Onset (min),0,F-220912-00063,
823,R-20221005-00061,S-221005-01048,,Lumisizer - VM,Top Severity (%),0,F-220912-00063,
824,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00147,2E+11
825,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Top Separation,N,F-220928-00147,2E+11
826,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Top Onset (min),0,F-220928-00147,2E+11
827,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Bottom Separation,N,F-220928-00147,2E+11
828,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00147,2E+11
829,R-20221006-00085,S-221006-01749,,Lumisizer - VM,Top Severity (%),0,F-220928-00147,2E+11
830,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Top Onset (min),0,F-220928-00150,2E+11
831,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00150,2E+11
832,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00150,2E+11
833,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Bottom Separation,N,F-220928-00150,2E+11
834,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Top Separation,N,F-220928-00150,2E+11
835,R-20221006-00086,S-221006-01795,,Lumisizer - VM,Top Severity (%),0,F-220928-00150,2E+11
836,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Bottom Severity (%),0,F-221004-00178,200000131411/002/000
837,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Bottom Separation,N,F-221004-00178,200000131411/002/000
838,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Bottom Onset (min),0,F-221004-00178,200000131411/002/000
839,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Top Separation,N,F-221004-00178,200000131411/002/000
840,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Top Onset (min),0,F-221004-00178,200000131411/002/000
841,R-20221010-00091,S-221010-02047,,Lumisizer - VM,Top Severity (%),0,F-221004-00178,200000131411/002/000
842,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Bottom Severity (%),0,F-221010-00121,
843,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Bottom Onset (min),0,F-221010-00121,
844,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Top Severity (%),0,F-221010-00121,
845,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Bottom Separation,N,F-221010-00121,
846,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Top Onset (min),0,F-221010-00121,
847,R-20221010-00121,S-221010-02397,,Lumisizer - VM,Top Separation,N,F-221010-00121,
848,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Bottom Severity (%),0,F-221004-00183,
849,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Top Severity (%),0,F-221004-00183,
850,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Top Onset (min),0,F-221004-00183,
851,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Bottom Onset (min),0,F-221004-00183,
852,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Top Separation,N,F-221004-00183,
853,R-20221010-00124,S-221010-02443,,Lumisizer - VM,Bottom Separation,N,F-221004-00183,
854,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Bottom Severity (%),0,F-221010-00072,
855,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Top Separation,N,F-221010-00072,
856,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Bottom Onset (min),0,F-221010-00072,
857,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Bottom Separation,N,F-221010-00072,
858,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Top Onset (min),0,F-221010-00072,
859,R-20221011-00061,S-221011-01336,,Lumisizer - VM,Top Severity (%),0,F-221010-00072,
860,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Bottom Severity (%),0,F-221010-00073,
861,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Bottom Separation,N,F-221010-00073,
862,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Top Separation,N,F-221010-00073,
863,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Top Severity (%),0,F-221010-00073,
864,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Top Onset (min),0,F-221010-00073,
865,R-20221011-00062,S-221011-01368,,Lumisizer - VM,Bottom Onset (min),0,F-221010-00073,
866,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Top Severity (%),0,F-221004-00098,
867,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Bottom Onset (min),0,F-221004-00098,
868,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Bottom Severity (%),0,F-221004-00098,
869,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Bottom Separation,N,F-221004-00098,
870,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Top Separation,N,F-221004-00098,
871,R-20221012-00091,S-221012-01287,,Lumisizer - VM,Top Onset (min),0,F-221004-00098,
872,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Bottom Severity (%),0,F-221003-00073,200000247512/003/000
873,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Bottom Onset (min),0,F-221003-00073,200000247512/003/000
874,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Top Onset (min),0,F-221003-00073,200000247512/003/000
875,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Bottom Separation,N,F-221003-00073,200000247512/003/000
876,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Top Separation,N,F-221003-00073,200000247512/003/000
877,R-20221012-00095,S-221012-01538,,Lumisizer - VM,Top Severity (%),0,F-221003-00073,200000247512/003/000
878,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Bottom Separation,N,F-221011-00206,
879,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Top Severity (%),12.5,F-221011-00206,
880,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Top Separation,Y,F-221011-00206,
881,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Bottom Onset (min),0,F-221011-00206,
882,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Bottom Severity (%),0,F-221011-00206,
883,R-20221012-00097,S-221012-01603,,Lumisizer - VM,Top Onset (min),180.5,F-221011-00206,
884,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Bottom Onset (min),0,F-221004-00161,200000226989/007/000
885,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Top Separation,N,F-221004-00161,200000226989/007/000
886,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Bottom Separation,N,F-221004-00161,200000226989/007/000
887,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Bottom Severity (%),0,F-221004-00161,200000226989/007/000
888,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Top Onset (min),0,F-221004-00161,200000226989/007/000
889,R-20221012-00099,S-221012-01819,,Lumisizer - VM,Top Severity (%),0,F-221004-00161,200000226989/007/000
890,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Top Onset (min),0,F-220927-00164?,
891,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Bottom Onset (min),40.6,F-220927-00164?,
892,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Top Separation,N,F-220927-00164?,
893,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Bottom Separation,Y,F-220927-00164?,
894,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Top Severity (%),0,F-220927-00164?,
895,R-20221012-00156,S-221012-02620,,Lumisizer - VM,Bottom Severity (%),1.9,F-220927-00164?,
896,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Bottom Onset (min),0,09282ZS01,200000263116/001/000
897,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Bottom Separation,N,09282ZS01,200000263116/001/000
898,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Top Onset (min),0,09282ZS01,200000263116/001/000
899,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Top Separation,N,09282ZS01,200000263116/001/000
900,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Top Severity (%),0,09282ZS01,200000263116/001/000
901,R-20221013-00101,S-221013-02530,,Lumisizer - VM,Bottom Severity (%),0,09282ZS01,200000263116/001/000
902,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Bottom Onset (min),0,F-220928-00157,
903,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Top Severity (%),0,F-220928-00157,
904,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Bottom Separation,N,F-220928-00157,
905,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Top Onset (min),0,F-220928-00157,
906,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Bottom Severity (%),0,F-220928-00157,
907,R-20221014-00108,S-221014-02145,,Lumisizer - VM,Top Separation,N,F-220928-00157,
908,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Bottom Onset (min),350.6,F-221012-00114,200000249267/002/001
909,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Top Separation,N,F-221012-00114,200000249267/002/001
910,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Bottom Severity (%),64.4,F-221012-00114,200000249267/002/001
911,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Top Onset (min),0,F-221012-00114,200000249267/002/001
912,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Bottom Separation,Y,F-221012-00114,200000249267/002/001
913,R-20221014-00110,S-221014-02214,,Lumisizer - VM,Top Severity (%),0,F-221012-00114,200000249267/002/001
914,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Top Onset (min),0,F-221004-00143,
915,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Bottom Severity (%),0,F-221004-00143,
916,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Bottom Separation,N,F-221004-00143,
917,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Bottom Onset (min),0,F-221004-00143,
918,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Top Severity (%),0,F-221004-00143,
919,R-20221014-00114,S-221014-02311,,Lumisizer - VM,Top Separation,N,F-221004-00143,
920,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Bottom Separation,N,F-221012-00103,
921,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Top Onset (min),0,F-221012-00103,
922,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Top Severity (%),0,F-221012-00103,
923,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Bottom Severity (%),0,F-221012-00103,
924,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Bottom Onset (min),0,F-221012-00103,
925,R-20221014-00115,S-221014-02357,,Lumisizer - VM,Top Separation,N,F-221012-00103,
926,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Bottom Severity (%),0,F-221018-00098,none
927,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Bottom Onset (min),0,F-221018-00098,none
928,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Top Onset (min),83.8,F-221018-00098,none
929,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Bottom Separation,N,F-221018-00098,none
930,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Top Severity (%),11.2,F-221018-00098,none
931,R-20221019-00056,S-221019-02694,,Lumisizer - VM,Top Separation,Y,F-221018-00098,none
932,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Top Onset (min),0,F-220923-00052,200000269211/000/000
933,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Top Severity (%),0,F-220923-00052,200000269211/000/000
934,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Bottom Separation,N,F-220923-00052,200000269211/000/000
935,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Bottom Severity (%),0,F-220923-00052,200000269211/000/000
936,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Bottom Onset (min),0,F-220923-00052,200000269211/000/000
937,R-20221026-00029,S-221026-00988,,Lumisizer - VM,Top Separation,N,F-220923-00052,200000269211/000/000
938,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Top Onset (min),0,F-221017-00166,200000242962/005/000
939,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Top Separation,N,F-221017-00166,200000242962/005/000
940,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Bottom Onset (min),0,F-221017-00166,200000242962/005/000
941,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Top Severity (%),0,F-221017-00166,200000242962/005/000
942,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Bottom Separation,N,F-221017-00166,200000242962/005/000
943,R-20221026-00030,S-221026-00847,,Lumisizer - VM,Bottom Severity (%),0,F-221017-00166,200000242962/005/000
944,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Bottom Severity (%),1.8,F-221025-00052,200000247512/003/000
945,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Top Separation,N,F-221025-00052,200000247512/003/000
946,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Top Onset (min),0,F-221025-00052,200000247512/003/000
947,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Top Severity (%),0,F-221025-00052,200000247512/003/000
948,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Bottom Onset (min),357.6,F-221025-00052,200000247512/003/000
949,R-20221026-00032,S-221026-00942,,Lumisizer - VM,Bottom Separation,Y,F-221025-00052,200000247512/003/000
950,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Top Separation,N,F-220923-00052,200000269211/000/000
951,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Top Severity (%),0,F-220923-00052,200000269211/000/000
952,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Bottom Separation,N,F-220923-00052,200000269211/000/000
953,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Top Onset (min),0,F-220923-00052,200000269211/000/000
954,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Bottom Severity (%),0,F-220923-00052,200000269211/000/000
955,R-20221026-00039,S-221026-01027,,Lumisizer - VM,Bottom Onset (min),0,F-220923-00052,200000269211/000/000
956,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Bottom Separation,N,F-221025-00081,200000247512/003/000
957,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Top Onset (min),0,F-221025-00081,200000247512/003/000
958,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Bottom Onset (min),0,F-221025-00081,200000247512/003/000
959,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Bottom Severity (%),0,F-221025-00081,200000247512/003/000
960,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Top Severity (%),0,F-221025-00081,200000247512/003/000
961,R-20221026-00054,S-221026-01186,,Lumisizer - VM,Top Separation,N,F-221025-00081,200000247512/003/000
962,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Bottom Separation,N,F-221024-00054,200000242962/005/000
963,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Top Severity (%),0,F-221024-00054,200000242962/005/000
964,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Top Onset (min),0,F-221024-00054,200000242962/005/000
965,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Bottom Severity (%),0,F-221024-00054,200000242962/005/000
966,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Bottom Onset (min),0,F-221024-00054,200000242962/005/000
967,R-20221026-00062,S-221026-01494,,Lumisizer - VM,Top Separation,N,F-221024-00054,200000242962/005/000
968,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Top Onset (min),0,F-221024-00055,200000242962/005/000
969,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Bottom Severity (%),0,F-221024-00055,200000242962/005/000
970,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Top Separation,N,F-221024-00055,200000242962/005/000
971,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Bottom Onset (min),0,F-221024-00055,200000242962/005/000
972,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Bottom Separation,N,F-221024-00055,200000242962/005/000
973,R-20221026-00063,S-221026-01518,,Lumisizer - VM,Top Severity (%),0,F-221024-00055,200000242962/005/000
974,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Bottom Severity (%),0,F-221025-00064,
975,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Top Separation,N,F-221025-00064,
976,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Top Onset (min),0,F-221025-00064,
977,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Bottom Onset (min),0,F-221025-00064,
978,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Bottom Separation,N,F-221025-00064,
979,R-20221028-00035,S-221028-00434,,Lumisizer - VM,Top Severity (%),0,F-221025-00064,
980,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Bottom Severity (%),0,F-221025-00067,
981,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Bottom Separation,N,F-221025-00067,
982,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Top Separation,N,F-221025-00067,
983,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Top Onset (min),0,F-221025-00067,
984,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Bottom Onset (min),0,F-221025-00067,
985,R-20221028-00036,S-221028-00458,,Lumisizer - VM,Top Severity (%),0,F-221025-00067,
986,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Bottom Severity (%),0,F-221102-00122,
987,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Top Onset (min),0,F-221102-00122,
988,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Bottom Onset (min),0,F-221102-00122,
989,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Bottom Separation,N,F-221102-00122,
990,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Top Separation,N,F-221102-00122,
991,R-20221103-00089,S-221107-00663,,Lumisizer - VM,Top Severity (%),0,F-221102-00122,
992,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Bottom Separation,N,F-221102-00124,
993,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Top Onset (min),0,F-221102-00124,
994,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Bottom Onset (min),0,F-221102-00124,
995,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Bottom Severity (%),0,F-221102-00124,
996,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Top Severity (%),0,F-221102-00124,
997,R-20221103-00090,S-221107-00709,,Lumisizer - VM,Top Separation,N,F-221102-00124,
998,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Bottom Separation,N,F-221027-00082,
999,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Bottom Onset (min),0,F-221027-00082,
1000,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Top Onset (min),0,F-221027-00082,
1001,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Bottom Severity (%),0,F-221027-00082,
1002,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Top Separation,N,F-221027-00082,
1003,R-20221104-00059,S-221104-01006,,Lumisizer - VM,Top Severity (%),0,F-221027-00082,
1004,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Bottom Separation,N,F-221105-00001,
1005,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Top Separation,N,F-221105-00001,
1006,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Top Onset (min),0,F-221105-00001,
1007,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Bottom Severity (%),0,F-221105-00001,
1008,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Bottom Onset (min),0,F-221105-00001,
1009,R-20221105-00012,S-221105-00274,,Lumisizer - VM,Top Severity (%),0,F-221105-00001,
1010,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Top Separation,N,F-221107-00095,
1011,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Top Severity (%),0,F-221107-00095,
1012,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Bottom Separation,N,F-221107-00095,
1013,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Bottom Severity (%),0,F-221107-00095,
1014,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Bottom Onset (min),0,F-221107-00095,
1015,R-20221108-00036,S-221108-01219,,Lumisizer - VM,Top Onset (min),0,F-221107-00095,
