Request,Sample,Batch,Parameter List,Parameter,Data
R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation Severity,1.90
R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation,Y
R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation Severity,9.80
R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Onset of Major Separation,80
R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation,Y
R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation,Y
R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation Severity,10.50
R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Onset of Major Separation,80
R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation Severity,N/A
R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation,N
R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Onset of Major Separation,N/A
R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation,N
R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separated Layers,NA
R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation,Y
R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation Severity,9.70
R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Onset of Major Separation,70
